epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.027,1.99281,2.40622,1.96242,0.66296,0.49551,0.55715,0.25787,1.95606,1.73669,1.8836,0.070099,0.00332233,0.00332233
2,357.421,1.82403,1.75482,1.80845,0.5333,0.41286,0.39411,0.15447,2.0711,2.00938,2.01938,0.0399343,0.00649094,0.00649094
3,535.835,1.87714,1.81584,1.82851,0.40065,0.318,0.24649,0.09465,2.38619,2.41565,2.34681,0.00960455,0.00949454,0.00949454
4,714.243,1.9319,1.93069,1.90919,0.43143,0.36818,0.31016,0.11097,2.28544,2.32888,2.24404,0.0092575,0.0092575,0.0092575
5,892.86,1.90124,1.90776,1.90641,0.56852,0.4201,0.44423,0.16333,2.16757,2.27432,2.1473,0.00901,0.00901,0.00901
6,1070.93,1.88457,1.84603,1.89914,0.6556,0.44428,0.51078,0.21293,2.1299,1.91026,2.08101,0.0087625,0.0087625,0.0087625
7,1249.41,1.86922,1.8296,1.87916,0.60596,0.47858,0.50226,0.21746,2.06144,1.80303,2.01956,0.008515,0.008515,0.008515
8,1427.72,1.82755,1.75818,1.86047,0.61481,0.48403,0.48206,0.20383,2.09396,1.89106,2.0651,0.0082675,0.0082675,0.0082675
9,1605.68,1.80773,1.75668,1.84796,0.66854,0.54465,0.5732,0.25026,1.97838,1.70337,2.00976,0.00802,0.00802,0.00802
10,1784.05,1.79,1.68994,1.8389,0.66157,0.50925,0.57315,0.24622,1.98321,1.68608,1.98358,0.0077725,0.0077725,0.0077725
11,1961.84,1.77543,1.64402,1.8234,0.6541,0.52432,0.54731,0.24348,1.99563,1.7191,1.97625,0.007525,0.007525,0.007525
12,2139.57,1.75009,1.62202,1.80418,0.64204,0.52773,0.55077,0.25114,1.99272,1.74674,1.99797,0.0072775,0.0072775,0.0072775
13,2316.4,1.73138,1.58137,1.78483,0.69029,0.53715,0.57021,0.25639,1.98884,1.64345,1.97294,0.00703,0.00703,0.00703
14,2493.88,1.72278,1.5709,1.78017,0.6685,0.62091,0.60862,0.26962,1.9591,1.5892,1.97598,0.0067825,0.0067825,0.0067825
15,2671.22,1.7003,1.51208,1.76012,0.68428,0.55508,0.61461,0.29046,1.92118,1.53051,1.92031,0.006535,0.006535,0.006535
16,2848.73,1.67229,1.47785,1.73758,0.73087,0.55109,0.63366,0.29976,1.9415,1.50332,1.92899,0.0062875,0.0062875,0.0062875
